Linda,Smith,Football,NULL,NULL,NULL,NULL,2023-12-20,Food,50.00,Dinner at a restaurant
Rachel,Castro,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Heather,White,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Randall,Abbott,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Patricia,Frazier,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jacob,Baldwin,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kathy,Jackson,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stephanie,Martin,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sherry,Cooper,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Patrick,Terry,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Raven,Hill,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lorraine,Durham,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Anthony,Ortiz,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mackenzie,Bird,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kenneth,Decker,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
George,Stewart,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
David,Gomez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lauren,Smith,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jennifer,Campbell,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Darren,Doyle,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Francis,Duncan,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Steven,Rollins,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Isabella,Obrien,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Steven,Randall,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brian,Vargas,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Joseph,Anderson,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amanda,Jackson,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jennifer,Ross,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alexander,King,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jeffrey,Coleman,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shannon,Pace,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Monica,George,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jeff,Wolfe,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John,Lee,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amber,Lara,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jasmine,Clark,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jennifer,Palmer,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mark,Cole,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John,Arnold,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mary,Ramirez,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Robin,Walls,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shannon,Donaldson,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mark,Savage,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aaron,Alvarez,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nicholas,Gray,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kristopher,Abbott,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nicole,Walker,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Matthew,Nguyen,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Teresa,Ross,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tara,Watts,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Michelle,Rodriguez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amber,Buchanan,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marissa,Moore,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Elizabeth,Smith,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angela,Hoffman,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dwayne,Green,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alexander,Pineda,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Donna,Robinson,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amanda,Greene,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jesus,Foley,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shirley,Stewart,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Andrew,Miller,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jacqueline,Perry,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rhonda,Harvey,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brenda,Moses,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Joel,Walker,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jordan,Thompson,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Megan,Ramirez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Miranda,Wilson,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eddie,Williams,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lindsey,Hart,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Julia,Aguirre,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lauren,Williams,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lisa,Valdez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Amanda,Martinez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lauren,Tran,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brandy,Esparza,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brian,Warner,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Madison,Fuller,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Katelyn,Pierce,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lauren,Orozco,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Karen,Tate,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Richard,Gallegos,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dennis,Gonzalez,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jason,Moss,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kelly,Bell,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jennifer,Woods,Basketball,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mary,Griffin,Cricket,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alexander,Barr,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Erica,Ferguson,Football,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
